Index,Server,Path,Artist,Album,Song,Genre,Type
70,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,01 side 2.aiff,Rock,Vinyl
71,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,02 The Night Before.aiff,Rock,Vinyl
72,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,03 You've Got to Hide Your Love Away.aiff,Rock,Vinyl
73,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,04 I Need You.aiff,Rock,Vinyl
74,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,05 Another Girl.aiff,Rock,Vinyl
75,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,06 Ticket To Ride.aiff,Rock,Vinyl
76,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,07 You're Going to Lose That Girl.aiff,Rock,Vinyl
77,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Help,08 The Chase(orchestra).aiff,Rock,Vinyl
78,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,01 Magical Mystery Tour.aiff,Rock,Vinyl
79,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,01 Side 1.aiff,Rock,Vinyl
80,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,01 Side 2.aiff,Rock,Vinyl
81,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,02 Fool On The Hill.aiff,Rock,Vinyl
82,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,03 Flying.aiff,Rock,Vinyl
83,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,04 Blue Jay Way.aiff,Rock,Vinyl
84,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,05 Your Mother Should Know.aiff,Rock,Vinyl
85,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,06 I Am the Walrus.aiff,Rock,Vinyl
86,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,07 Hello Goodbye.aiff,Rock,Vinyl
87,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,08 Strawberry Fields Forever.aiff,Rock,Vinyl
88,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,09 Penny Lane.aiff,Rock,Vinyl
89,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,10 Baby You're a Rich Man.aiff,Rock,Vinyl
90,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Magical Mystery Tour,11 All You Need Is Love.aiff,Rock,Vinyl
91,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,01 I Want To Hold Your Hand.aiff,Rock,Vinyl
92,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,01 Side2.aiff,Rock,Vinyl
93,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,02 I Saw Here Standing There.aiff,Rock,Vinyl
94,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,03 This Boy.aiff,Rock,Vinyl
95,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,04 It Won't Be Long.aiff,Rock,Vinyl
96,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,05 All I've Got To Do.aiff,Rock,Vinyl
97,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,06 All My Loving.aiff,Rock,Vinyl
98,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,07 Don't Bother Me.aiff,Rock,Vinyl
99,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,08 Little Child.aiff,Rock,Vinyl
100,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,09 Till There Was You.aiff,Rock,Vinyl
101,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,10 Hold Me Tight.aiff,Rock,Vinyl
102,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,11 I Wanna Be Your Man.aiff,Rock,Vinyl
103,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Meet The Beatles,12 Not A Second Time.aiff,Rock,Vinyl
104,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,01 Drive My Car.aiff,Rock,Vinyl
105,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,02 Norwegian Wood.aiff,Rock,Vinyl
106,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,03 You Wont See Me 1.aiff,Rock,Vinyl
107,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,03 You Wont See Me.aiff,Rock,Vinyl
108,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,04 Nowhere Man.aiff,Rock,Vinyl
109,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,05 Think For Yourself 1.aiff,Rock,Vinyl
110,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,05 Think For Yourself.aiff,Rock,Vinyl
111,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,06 The Word.aiff,Rock,Vinyl
112,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,07 Michelle 1.aiff,Rock,Vinyl
113,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,07 Michelle.aiff,Rock,Vinyl
114,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,08 What Goes On.aiff,Rock,Vinyl
115,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,09 Girl.aiff,Rock,Vinyl
116,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,10 I'm Looking Through You.aiff,Rock,Vinyl
117,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,11 In My Life.aiff,Rock,Vinyl
118,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,11 Wait.aiff,Rock,Vinyl
119,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,13 If I Needed Someone 1.aiff,Rock,Vinyl
120,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,13 If I Needed Someone.aiff,Rock,Vinyl
121,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul,14 Run For Your Life.aiff,Rock,Vinyl
122,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),01 I've Just Seen a Face.aiff,Rock,Vinyl
123,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),02 Norwegian Wood.aiff,Rock,Vinyl
124,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),03 You Won't See Me.aiff,Rock,Vinyl
125,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),04 Think For Yourself.aiff,Rock,Vinyl
126,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),05 The Word.aiff,Rock,Vinyl
127,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),06 Michelle.aiff,Rock,Vinyl
128,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),07 It's Only Love.aiff,Rock,Vinyl
129,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),08 Girl.aiff,Rock,Vinyl
130,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),09 I'm Looking Through You.aiff,Rock,Vinyl
131,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),10 In My Life.aiff,Rock,Vinyl
132,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),11 Wait.aiff,Rock,Vinyl
133,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Rubber Soul (North American),12 Run For Your Life.aiff,Rock,Vinyl
134,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Something New,01 I'll Cry Instead.aiff,Rock,Vinyl
135,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Something New,02 Things We Said Today.aiff,Rock,Vinyl
136,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Something New,03 Any Time At All.aiff,Rock,Vinyl
137,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Something New,04 When I Get Home.aiff,Rock,Vinyl
