"index","artist","album","genre","type"
881,"Weather Report","Night Passage","Jazz","Vinyl"
882,"Weather Report","Sweetnighter","Jazz","Download"
883,"Weather Report","Tale Spinnin'","Jazz","Download"
884,"White Lion","The Best Of White Lion","Rock","Download"
885,"Wilbert Harrison","50's Rock","Rock","Tape"
886,"Willie Nelson & Calexico","I'm Not There [Disc 1]","Folk","CD"
887,"Willie Nelson and Leon Russel","Willie Nelson and Leon Russel","Rock","Vinyl"
888,"Wings","4_ John Paul George Ringo - EP","Rock","Download"
889,"Wrabel","Sideways - Single","Pop","Download"
890,"Wyatt McCubbin","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
891,"Wye Oak","We Were Wealth","Pop","Download"
892,"Wynton Marsalis & Eric Clapton","Wynton Marsalis & Eric Clapton Play the Blues (Live from Jazz At Lincoln Center)","Jazz","Download"
893,"Yes","The Very Best of Yes","Rock","CD"
894,"Yo La Tengo","I'm Not There [Disc 1]","Folk","CD"
895,"Yo La Tengo","I'm Not There [Disc 2]","Folk","CD"
896,"Yo-Yo Ma","Songs of Joy & Peace","Pop","Download"
897,"Zac Brown Band","Greatest Hits So Far","Country","Download"
898,"Zac Brown Band","JEKYLL + HYDE","Country","Download"
899,"Zac Brown Band","Keep Me In Mind - Single","Country","Download"
900,"ZZ Top","Eliminator","Rock","Tape"
901,"George Harrison","4 John Paul George Ringo - EP","Rock","Download"
902,"John Lennon","4 John Paul George Ringo - EP","Rock","Download"
903,"Ringo Starr","4 John Paul George Ringo - EP","Rock","Download"
904,"Wings","4 John Paul George Ringo - EP","Rock","Download"
